,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,,VIC,VIC,VIC,,TAS,TAS,TAS,TAS,TAS,TAS,TAS,TAS,TAS,TAS,TAS,TAS,TAS,TAS,TAS,TAS,,QLD,QLD,QLD,QLD,QLD,QLD,QLD,QLD,QLD,QLD,QLD,,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
1891,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,73439.02,,3167.38,,0,,0,,0,,1422.4,,0,,71671.18,,0,,17678.4,,0,,0,,0,,167378.38,,,,117448.838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14508.48,,,,,0,,,,,0,,,,14508.48,,,,,,,,,,,,,,,
1892,,0,,0,,0,,0,,0,,0,,0,,0,,0,,941.07,,44196,,12006.58,,0,,0,,0,,711.2,,0,,78300.58,,29870.4,,16720.82,,444.5,,213.36,,0,,183404.51,,,,26894.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18881.6488,,,,,0,,,,,0,,,,18881.6488,,,,,,,,,,,,,,,
1893,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,51562,,5911.215,,0,,0,,0,,483.616,,0,,76238.1,,24892,,13000.99,,0,,32.004,,0,,172119.925,,,,3483.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12197.08,,,,,4014.724,,,,,0,,,,16211.804,,,,,,,,,,,,,,,
1894,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,54655.72,,8839.2,,0,,0,,0,,1399.647472,,0,,81652.11,,24892,,11546.205,,0,,1778,,0,,184762.8825,,,,3962.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26403.3,,,,,1351.28,,,,,0,,,,27754.58,,,,,,,,,,,,,,,
1895,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,34601.785,,12153.9,,0,,0,,0,,842.772,,0,,66294,,14224,,7218.68,,0,,14.224,,0,,135349.361,,,,3900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19710.908,,,,,0,,,,,0,,,,19710.908,,,,,,,,,,,,,,,
1896,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,46258.48,,12890.5,,0,,853.44,,0,,860.552,,0,,53256.18,,21336,,11049,,0,,0,,0,,146504.152,,,,3900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9761.22,,,,,0,,,,,0,,,,9761.22,,,,,,,,,,,,,,,
1897,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1172.21,,50825.4,,4861.56,,0,,0,,0,,821.436,,0,,44196,,17780,,5892.8,,49.0728,,0,,0,,125598.4788,,,,3103.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6795.516,,,,,0,,,,,0,,,,6795.516,,,,,,,,,,,,,,,
1898,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1295.138743,,39776.4,,5671.82,,0,,0,,0,,711.2,,0,,34841.18,,10668,,4787.9,,0,,71.12,,0,,97822.75874,,,,5778.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4846.1168,,,,,0,,,,,0,,,,4846.1168,,,,,,,,,,,,,,,
1899,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,34620.2,,6592.57,,10238.74,,355.6,,0,,640.08,,0,,41013.888,,9899.904,,5211.445,,0,,355.6,,0,,108928.027,,,,10302.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19722.9984,,,,,4089.4,,,,,0,,,,23812.3984,,,,,,,,,,,,,,,
1900,,0,,0,,0,,0,,143.1882667,,0,,0,,0,,0,,710.7936,,36830,,5156.2,,0,,355.6,,513.0912889,,853.44,,874.776,,32281.495,,14259.56,,5819.14,,0,,355.6,,0,,98152.88416,,,,4688.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30981.2944,,,,,27585.3144,,,,,0,,,,58566.6088,,,,,,,,,,,,,,,
1901,,8.5725,,0,,0,,0,,75.66846121,,0,,0,,0,,0,,0,,29611.32,,386.715,,0,,142.24,,0,,942.34,,668.5433276,,22613.62,,14224,,5524.5,,0,,568.96,,0,,74766.47929,,,,4688.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22853.7008,,,,,29371.1376,,,,,0,,,,52224.8384,,,,,,,,,,,,,,,
1902,,106.7797009,,0,,0,,0,,70,,0,,0,,0,,0,,1512.785069,,29464,,313.055,,0,,142.24,,0,,915.2545794,,0,,34325.56,,14935.2,,3167.38,,0,,1369.06,,0,,86321.31435,,,,660.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28676.2952,,,,,15387.8788,,,,,0,,,,44064.174,,,,,,,,,,,,,,,
1903,,0,,79.26871356,,0,,0,,0,,0,,0,,0,,0,,3680.333129,,34251.9,,662.94,,0,,1056.916181,,198.1717839,,1717.488794,,0,,33147,,22459.46884,,3664.585,,0,,1952.244,,0,,102870.3164,,,,2179.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37333.7328,,,,,20774.8632,,,,,0,,,,58108.596,,,,,,,,,,,,,,,
1904,,248.6404274,,0,,0,,0,,0,,0,,0,,294.64,,0,,2452.109043,,40513,,1104.9,,0,,568.96,,0,,1041.717653,,0,,36830,,18420.08,,13258.8,,0,,522.732,,0,,115255.5791,,,,4688.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37952.4768,,,,,22819.5632,,,,,0,,,,60772.04,,,,,,,,,,,,,,,
1905,,571.4603918,,0,,0,,0,,0,,0,,0,,311.7351189,,0,,1320.8,,85224.62,,736.6,,0,,0,,0,,762.7718073,,0,,33367.98,,5442.479922,,7660.64,,0,,170.688,,0,,135569.7752,,,,8188.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45767.1424,,,,,30989.8288,,,,,0,,,,76756.9712,,,,,,,,,,,,,,,
1906,,664.6347621,,75.565,,0,,0,,2631.44,,0,,0,,0,,0,,8269.153021,,109090.46,,11186.97266,,0,,720.080999,,0,,827.3730678,,0,,30200.6,,3600.404995,,8912.86,,0,,942.34,,0,,177121.8845,,,,7000.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55706.8736,,,,,50612.548,,,,,0,,,,106319.4216,,,,,,,,,,,,,,,
1907,,0,,142.24,,0,,0,,3270.924896,,0,,0,,0,,0,,1692.418851,,133471.92,,10680.7,,4885.766801,,0,,0,,1334.407171,,0,,30421.58,,5858.372947,,12522.2,,0,,206.248,,0,,204486.7787,,,,6802.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54762.4,,,,,60714.4328,,,,,0,,,,115476.8328,,,,,,,,,,,,,,,
1908,,264.4706209,,120.9008553,,0,,0,,103.124,,0,,0,,0,,0,,0,,103639.62,,4695.825,,2887.85726,,0,,0,,992.898274,,0,,40328.85,,9917.648285,,17236.44,,1066.8,,0,,0,,181254.4343,,,,5217.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40988.5896,,,,,28663.4936,,,,,0,,,,69652.0832,,,,,,,,,,,,,,,
1909,,0,,0,,0,,0,,106.68,,0,,0,,0,,0,,396.24,,110121.7,,1767.84,,1303.782,,0,,0,,1351.28,,0,,49720.5,,7144.196331,,16868.14,,86.57084965,,711.2,,0,,189578.1292,,,,5877.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32626.3,,,,,20906.4352,,,,,108.1024,,,,53640.8376,,,,,,,,,,,,,,,
1910,,106.68,,0,,0,,0,,57.82712431,,0,,13.55323226,,38.18139145,,0,,0,,77858.62,,5156.2,,3683,,0,,0,,1713.992,,0,,58044.08,,5132.157283,,14363.7,,0,,325.2775743,,0,,166493.2686,,,,2707.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22595.5352,,,,,10916.92,,,,,0,,,,33512.4552,,,,,,,,,,,,,,,
1911,,71.12,,10.668,,0,,0,,178.4601125,,0,,284.48,,0,,7.366,,0,,86624.16,,5351.399,,44.196,,0,,0,,2375.408,,0,,59369.96,,6329.68,,14658.34,,248.92,,118.9734083,,0,,175673.1305,,,,2179.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29238.8544,,,,,10571.988,,,,,0,,,,39810.8424,,,,,,,,,,,,,,,
1912,,0,,0,,0,,0,,391.16,,7594.6,,48.5114219,,0,,36.83,,0,,74101.96,,4957.318,,902.335,,0,,0,,1493.52,,35560,,82388.71,,6784.848,,12301.22,,2079.522952,,0,,25062.18,,253702.7154,,,,3169.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30613.604,,,,,8774.7856,,,,,0,,,,39388.3896,,,,,,,,,,,,,,,
1913,,0,,188.8135027,,0,,0,,0,,164.1856545,,0,,0,,55.245,,0,,86108.54,,9433.08375,,718.185,,0,,0,,3698.24,,0,,79899.002,,11485.88,,11638.28,,497.84,,0,,24942.14643,,228829.4413,,,,3764.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32607.0976,,,,,9892.792,,,,,227.584,,,,42727.4736,,,,,,,,,,,,,,,
1914,,0,,106.68,,0,,0,,624.3812888,,0,,0,,0,,147.32,,0,,58559.7,,7439.66,,84.709,,0,,0,,1920.24,,0,,72997.06,,8321.04,,9207.5,,88.70495963,,0,,16827.16733,,176324.1626,,,,3473.704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17391.6848,,,,,6215.888,,,,,0,,,,23607.5728,,,,,,,,,,,,,,,
1915,,0,,77.78557224,,12242.8,,0,,0,,0,,0,,117.856,,0,,0,,48762.92,,7586.98,,220.98,,0,,0,,302.26,,0,,76974.7,,5760.72,,10244.2645,,195.58,,0,,35961.57676,,198448.4228,,,,6310.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17590.1096,,,,,5593.588,,,,,0,,,,23183.6976,,,,,,,,,,,,,,,
1916,,75.33542619,,47.117,,0,,750.316,,0,,0,,0,,27.6225,,0,,0,,51584.098,,1003.6175,,368.3,,0,,0,,2313.218017,,0,,80178.91,,5938.52,,10135.616,,231.0167405,,0,,21022.056,,173675.7432,,,,8056.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20037.3488,,,,,10893.4504,,,,,0,,,,30930.7992,,,,,,,,,,,,,,,
1917,,0,,174.244,,0,,0,,13.335,,0,,0,,0,,0,,0,,44873.672,,10165.08,,14732,,0,,0,,1688.499979,,0,,68945.76,,8890,,9391.65,,568.96,,0,,29615.80661,,189059.0076,,,,9176.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16920.8704,,,,,4910.836,,,,,0,,,,21831.7064,,,,,,,,,,,,,,,
1918,,711.2,,295.148,,0,,0,,20.99777367,,0,,0,,14.732,,0,,0,,50862.23,,10551.795,,2729.103,,0,,0,,1902.923238,,0,,64342.01,,7837.424,,11417.3,,0,,0,,23575.13321,,174259.9962,,,,8981.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21037.296,,,,,7076.44,,,,,0,,,,28113.736,,,,,,,,,,,,,,,
1919,,0,,0,,0,,401.2123339,,0,,0,,0,,29.464,,0,,0,,46184.82,,11896.09,,7406.513,,0,,0,,363.9782361,,0,,73328.53,,7727.188,,11490.96,,1137.92,,0,,44530.35529,,204497.0309,,,,7601.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17396.6632,,,,,2610.104,,,,,0,,,,20006.7672,,,,,,,,,,,,,,,
1920,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,50604.42,,12227.56,,1399.54,,0,,0,,630.2323668,,0,,65704.72,,9441.18,,8360.41,,2595.88,,0,,23588.7582,,174552.7006,,,,5596.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13519.2008,,,,,2951.48,,,,,0,,,,16470.6808,,,,,,,,,,,,,,,
1921,,0,,0,,0,,0,,0,,0,,0,,11.049,,0,,0,,41986.2,,3120.42175,,515.62,,0,,0,,1422.4,,34.7004301,,39702.74,,15113,,4272.28,,2493.572907,,0,,7887.903482,,116559.8876,,,,5283.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3760.1144,,,,,1031.24,,,,,0,,,,4791.3544,,,,,,,,,,,,,,,
1922,,0,,0,,0,,0,,0,,0,,0,,18.58635715,,0,,0,,27254.2,,920.75,,589.28,,0,,0,,924.56,,0,,26738.58,,15219.68,,3314.7,,568.96,,0,,5052.06,,80601.35636,,,,7561.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1127.9632,,,,,1774.5,,,,,0,,,,2902.4632,,,,,,,,,,,,,,,
1923,,0,,0,,0,,0,,0,,0,,0,,44.196,,0,,0,,29464,,1215.39,,128.905,,0,,0,,1991.36,,0,,26885.9,,11699.24,,4640.58,,640.08,,0,,11424.92,,88134.571,,,,5137.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992.7824,,,,,1735.328,,,,,0,,,,3728.1104,,,,,,,,,,,,,,,
1924,,0,,71.12,,0,,0,,0,,0,,0,,51.562,,0,,0,,39187.12,,2449.195,,3020.06,,0,,0,,2204.72,,0,,32557.72,,9192.26,,3593.407374,,213.36,,0,,25425.4,,117965.9244,,,,2509.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3738.0672,,,,,2030.476,,,,,0,,,,5768.5432,,,,,,,,,,,,,,,
1925,,0,,0,,0,,0,,0,,0,,0,,7.366,,0,,0,,32631.38,,2467.61,,2872.74,,0,,0,,3075.94,,0,,26296.62,,10312.4,,4658.995,,173.7297669,,0,,22668.23,,105165.0108,,,,4556.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3930.8024,,,,,1704.0352,,,,,0,,,,5634.8376,,,,,,,,,,,,,,,
1926,,11.43,,0,,1270,,99.568,,21.336,,0,,0,,116.0145,,257.81,,19.812,,34859.595,,3425.19,,920.75,,0,,0,,3307.08,,0,,29629.735,,12072.62,,4309.11,,426.72,,0,,23939.5,,114686.2705,,,,1915.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4367.4792,,,,,2519.0704,,,,,0,,,,6886.5496,,,,,,,,,,,,,,,
1927,,6.35,,0,,1422.4,,8.5344,,0,,0,,0,,291.5421495,,74.00420561,,0,,28672.155,,7918.45,,2430.78,,0,,0,,1280.16,,35.56,,26130.885,,16002,,4879.975,,60.452,,0,,6114.723796,,95327.97155,,,,4127.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4149.1408,,,,,2662.7328,,,,,0,,,,6811.8736,,,,,,,,,,,,,,,
1928,,0,,0,,1051.56,,0,,0,,0,,0,,4.181974146,,0,,0,,34712.275,,6960.87,,681.355,,0,,0,,924.56,,71.12,,22650.45,,10650.22,,3756.66,,0,,0,,22602.19,,104065.442,,,,5646.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3878.8848,,,,,2523.3376,,,,,0,,,,6402.2224,,,,,,,,,,,,,,,
1929,,0,,0,,180.1208852,,0,,0,,0,,0,,71.8185,,0,,0,,25854.66,,8592.439,,736.6,,0,,0,,889,,0,,13472.414,,12072.62,,3012.694,,0,,0,,27578.304,,92460.67039,,,,1667.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2723.896,,,,,1270.2032,,,,,0,,,,3994.0992,,,,,,,,,,,,,,,
1930,,0,,0,,0,,0,,10.668,,326.898,,106.68,,3.683,,0,,51.92408082,,21324.57,,3130.55,,497.205,,0,,0,,604.52,,0,,10441.305,,13228.32,,2044.065,,35.56,,0,,3251.931005,,55057.87909,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.228,,,,,839.216,,,,,42.672,,,,928.116,,,,,,,,,,,,,,,
1931,,0,,0,,548.64,,0,,3.556,,0,,0,,135.35025,,0,,37.973,,22318.98,,1602.105,,2430.78,,0,,0,,113.792,,0,,12945.745,,9743.44,,3425.19,,53.34,,0,,16972.28,,70331.17125,,,,379.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,448.056,,,,,0,,,,448.056,,,,,,,,,,,,,,,
1932,,0,,0,,584.2,,0,,32.004,,0,,0,,12.8905,,20.2565,,0,,25486.36,,3535.68,,552.45,,0,,0,,231.14,,0,,15394.94,,10099.04,,2799.08,,0,,0,,8948.42,,67696.461,,,,1551.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586.74,,,,,497.84,,,,,0,,,,1084.58,,,,,,,,,,,,,,,
1933,,0,,0,,0,,1066.8,,0,,0,,0,,0,,110.49,,0,,39039.8,,11380.47,,331.47,,0,,0,,2773.68,,0,,19225.26,,16482.06,,2320.29,,0,,0,,12877.8,,105608.12,,,,643.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.2048,,,,,213.36,,,,,0,,,,429.5648,,,,,,,,,,,,,,,
1934,,177.8,,0,,365.76,,924.56,,138.684,,0,,0,,40.513,,128.905,,0,,40513,,12595.86,,791.845,,0,,0,,2898.14,,0,,17825.72,,12997.18,,3314.7,,0,,0,,18821.4,,111534.067,,,,1485.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.236,,,,,815.7464,,,,,0,,,,925.9824,,,,,,,,,,,,,,,
1935,,426.72,,0,,292.1,,213.36,,0,,0,,0,,18.415,,92.075,,0,,31250.255,,14621.51,,718.185,,0,,67.564,,1778,,0,,18930.62,,13459.46,,1362.71,,568.96,,0,,17748.25,,101548.184,,,,1320.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1231.7984,,,,,71.12,,,,,0,,,,1302.9184,,,,,,,,,,,,,,,
1936,,13.335,,0,,155.6579987,,96.012,,22.225,,0,,0,,11.049,,1196.975,,0,,29905.96,,12964.16,,1252.22,,0,,21.336,,5476.24,,0,,19593.56,,18348.96,,1252.22,,0,,1.2446,,14726.92,,105038.0746,,,,5646.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1553.972,,,,,355.6,,,,,0,,,,1909.572,,,,,,,,,,,,,,,
1937,,37.338,,0,,0,,640.08,,15.113,,0,,0,,92.075,,1429.004,,35.81722369,,42280.84,,9723.12,,1289.05,,0,,21.336,,4800.6,,39.46525,,17899.38,,16997.68,,1841.5,,0,,3.556,,10120.63,,107266.5845,,,,14363.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3647.0336,,,,,213.36,,,,,0,,,,3860.3936,,,,,,,,,,,,,,,
1938,,1137.92,,0,,0,,0,,0,,9.010639033,,0,,165.735,,3535.68,,66.04,,45300.9,,9575.8,,345.28125,,0,,0,,4573.016,,0,,17862.55,,17139.92,,7402.83,,0,,0,,13564.616,,120679.2989,,,,11177.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3691.128,,,,,71.12,,,,,0,,,,3762.248,,,,,,,,,,,,,,,
1939,,10383.52,,0,,0,,78.232,,21.336,,0,,0,,22.098,,6272.149,,0,,47289.72,,11078.464,,250.444,,0,,9.779,,3741.801,,0,,22318.98,,21037.296,,3646.17,,0,,0,,11941.683,,138091.672,,,,16311.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766.6736,,,,,0,,,,,0,,,,766.6736,,,,,,,,,,,,,,,
1940,,23447.5528,,0,,0,,346.71,,0,,0,,0,,3.683,,5943.291764,,19.39925,,35211.6898,,6432.7278,,453.009,,0,,0,,4073.7536,,0,,21295.05284,,14175.2828,,8968.8416,,0,,0,,8007.35,,128378.3443,,,,10434.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2386.076,,,,,209.804,,,,,0,,,,2595.88,,,,,,,,,,,,,,,
1941,,48215.0928,,0,,0,,346.71,,0,,13.79764286,,0,,3.683,,4699.508,,19.39925,,35561.5748,,5372.0238,,220.98,,0,,0,,3696.8176,,0,,21359.1902,,11863.8828,,7064.7306,,0,,0,,7000.24,,145437.6305,,,,5943.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.2896,,,,,416.7632,,,,,0,,,,778.0528,,,,,,,,,,,,,,,
1942,,43962.1168,,0,,0,,0,,0,,0,,0,,3.683,,3355.213,,19.39925,,29451.4778,,5232.0698,,75.5015,,0,,0,,4884.5216,,0,,8156.3718,,9595.1548,,3230.7276,,0,,0,,2400.554,,110366.791,,,,5481.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903.9352,,,,,760.984,,,,,0,,,,1664.9192,,,,,,,,,,,,,,,
1943,,37298.1728,,0,,0,,0,,0,,0,,0,,3.683,,3020.06,,19.39925,,38371.7038,,4141.9018,,116.0145,,0,,0,,3679.0376,,0,,10197.4904,,9627.1588,,5827.2426,,0,,0,,6719.57,,119021.4346,,,,3962.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.3856,,,,,327.152,,,,,52.6288,,,,620.1664,,,,,,,,,,,,,,,
1944,,28137.9168,,0,,0,,0,,0,,0,,0,,3.683,,2161.921,,19.39925,,45645.6288,,4646.4728,,32.22625,,0,,0,,2448.6616,,0,,10954.7152,,10768.6348,,3779.4946,,0,,0,,2790.19,,111388.9441,,,,3632.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.008,,,,,701.9544,,,,,22.0472,,,,788.0096,,,,,,,,,,,,,,,
1945,,24892,,0,,0,,0,,0,,0,,0,,3.683,,1940.941,,19.39925,,23762.716,,4123.4868,,222.8215,,0,,0,,2275.84,,0,,11829.796,,5115.306,,3572.51,,0,,0,,485.394,,78243.89355,,,,2773.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760.984,,,,,768.8072,,,,,0,,,,1529.7912,,,,,,,,,,,,,,,
