,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,,VIC,VIC,VIC,,TAS,TAS,TAS,TAS,TAS,TAS,TAS,TAS,TAS,TAS,TAS,TAS,TAS,TAS,TAS,TAS,,QLD,QLD,QLD,QLD,QLD,QLD,QLD,QLD,QLD,QLD,QLD,,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
1946,,16215.36,,0,,0,,0,,0,,0,,0,,11.049,,1664.716,,0,,22436.836,,3036.6335,,624.2685,,0,,0,,2773.68,,0,,8008.6835,,5465.572,,3798.09375,,0,,0,,1122.68,,65157.57225,,,,4226.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1033.3736,,,,,994.9688,,,,,0,,,,2028.3424,,,,,,,,,,,,,,,
1947,,10596.88,,0,,0,,0,,0,,0,,0,,13.81125,,1252.22,,9.209529343,,19755.612,,2983.23,,239.395,,0,,0,,2844.8,,0,,10142.982,,6080.76,,1977.771,,0,,0,,1584.96,,57481.63078,,,,5745.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.5176,,,,,1273.048,,,,,0,,,,1680.5656,,,,,,,,,,,,,,,
1948,,8651.748,,0,,0,,0,,0,,0,,0,,58.928,,606.77425,,12.2847103,,18944.43125,,2147.189,,213.614,,0,,0,,2773.68,,0,,6776.72,,6525.26,,2449.195,,0,,0,,858.52,,50018.34421,,,,3566.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.24,,,,,2488.4888,,,,,0,,,,2630.7288,,,,,,,,,,,,,,,
1949,,6564.376,,0,,0,,0,,0,,59.436,,0,,430.911,,430.911,,0,,14356.334,,4073.398,,570.865,,0,,0,,2208.276,,0,,5565.013,,6873.748,,998.093,,0,,2.2225,,845.312,,42978.8955,,,,3235.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.36,,,,,2241.7024,,,,,0,,,,2455.0624,,,,,,,,,,,,,,,
1950,,7508.24,,0,,0,,3.556,,0,,50.8,,0,,350.52,,335.28,,0,,21031.2,,3048,,193.04,,0,,0,,2580.64,,0,,6029.96,,6055.36,,1097.28,,0,,3.81,,690.88,,48978.566,,,,2641.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2157.7808,,,,,1498.4984,,,,,0,,,,3656.2792,,,,,,,,,,,,,,,
1951,,5943.6,,0,,0,,0,,0,,0,,0,,71.12,,274.32,,3.302,,21000.72,,2011.68,,182.88,,0,,0,,1635.76,,0,,6705.6,,2194.56,,1391.92,,0,,3.556,,487.68,,41906.698,,,,3302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595.9328,,,,,2726.7408,,,,,8.865179689,,,,4331.53878,,,,,,,,,,,,,,,
1952,,4500.88,,0,,0,,0,,0,,0,,0,,0,,167.64,,45.72,,20360.64,,3037.84,,14.732,,0,,0,,1259.84,,0,,5862.32,,3322.32,,447.04,,0,,7.112,,660.4,,39686.484,,,,3434.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2321.56,,,,,4308.856,,,,,15.24,,,,6645.656,,,,,,,,,,,,,,,
1953,,5648.96,,0,,0,,0,,0,,0,,0,,81.026,,579.12,,81.28,,17515.84,,1046.48,,0,,0,,0,,731.52,,0,,3505.2,,2733.04,,1158.24,,0,,0,,1381.76,,34462.466,,,,2905.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2764.536,,,,,4970.272,,,,,19.304,,,,7754.112,,,,,,,,,,,,,,,
1954,,6949.44,,0,,0,,0,,0,,0,,0,,0,,833.12,,0,,11115.04,,162.56,,0,,0,,0,,203.2,,0,,1869.44,,2082.8,,11115.04,,0,,0,,3606.8,,37937.44,,,,2311.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2882.392,,,,,5210.048,,,,,0,,,,8092.44,,,,,,,,,,,,,,,
1955,,5415.28,,0,,0,,0,,0,,0,,0,,0,,144.78,,0.635,,12862.56,,304.8,,0,,0,,0,,81.28,,0,,4033.52,,1239.52,,20.32,,0,,0,,3190.24,,27292.935,,,,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7890.256,,,,,4233.672,,,,,9.144,,,,12133.072,,,,,,,,,,,,,,,
1956,,3298.952,,0,,0,,0,,0,,1.016,,0,,0.07366,,82.296,,61.976,,13384.784,,267.208,,0,,0,,0,,277.368,,0,,4691.888,,913.384,,0,,0,,0,,4333.24,,27312.18566,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8509,,,,,15919.704,,,,,5.08,,,,24433.784,,,,,,,,,,,,,,,
1957,,2242.0072,,0,,0,,0,,0,,0,,0,,0,,10.8712,,34.2392,,10415.4224,,425.3992,,0,,0,,0,,119.888,,0,,2580.9448,,906.8816,,1168.1968,,0,,0,,3539.0328,,21442.8832,,,,33.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3450.336,,,,,15060.168,,,,,0,,,,18510.504,,,,,,,,,,,,,,,
1958,,2116.328,,0,,0,,0,,0,,0,,0,,0,,73.152,,94.488,,13038.328,,344.424,,0,,0,,0,,132.08,,0,,2228.088,,1818.64,,624.84,,0,,14.224,,3835.4,,24319.992,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821.944,,,,,8680.704,,,,,0,,,,9502.648,,,,,,,,,,,,,,,
1959,,708.8632,,0,,0,,0,,0,,0,,0,,36.9824,,176.784,,0,,12065.8128,,336.804,,0,,0,,0,,122.1232,,0,,1470.2536,,412.9024,,1446.3776,,0,,5.3848,,853.8464,,17636.1344,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1529.08,,,,,16166.592,,,,,0,,,,17695.672,,,,,,,,,,,,,,,
1960,,890.8288,,0,,0,,0,,0,,0,,0,,0,,5.1816,,2.9464,,9561.576,,643.128,,0,,0,,0,,34.2392,,0,,2417.1656,,2488.9968,,1859.788,,0,,0,,4730.6992,,22634.5496,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275.08,,,,,17981.168,,,,,0,,,,19256.248,,,,,,,,,,,,,,,
1961,,1175.8168,,0,,0,,0,,0,,0,,0,,0,,9.4488,,25.7048,,8155.94,,769.8232,,0,,0,,0,,35.2552,,0,,1419.7584,,2619.9592,,1136.4976,,0,,2.032,,2235.3016,,17585.5376,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1194.816,,,,,22274.784,,,,,0,,,,23469.6,,,,,,,,,,,,,,,
1962,,852.8304,,0,,0,,0,,0,,0,,0,,0,,0,,0,,9909.556,,1046.3784,,0,,0,,0,,52.7304,,0,,1027.5824,,2369.4136,,2692.2984,,0,,0,,3589.3248,,21540.1144,,,,726.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1383.792,,,,,31480.76,,,,,0,,,,32864.552,,,,,,,,,,,,,,,
1963,,1798.7264,,0,,0,,0,,0,,1.4224,,0,,0,,3153.156,,0,,9950.704,,1862.9376,,0,,0,,0,,269.8496,,0,,948.944,,1925.9296,,1666.0368,,0,,9.9568,,3778.6056,,25366.2688,,,,990.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2907.792,,,,,36851.336,,,,,9.144,,,,39768.272,,,,,,,,,,,,,,,
1964,,2622.296,,0,,0,,0,,0,,2.54,,0,,0,,23338.028,,2.3368,,15684.7032,,1014.3744,,0,,0,,0,,213.1568,,0,,3398.3168,,1445.26,,228.1936,,0,,0,,20188.6312,,68137.8368,,,,133532.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3850.64,,,,,41437.56,,,,,67.056,,,,45355.256,,,,,,,,,,,,,,,
1965,,1121.664,,0,,0,,0,,0,,0,,0,,0,,31172.8104,,0.6096,,16642.1816,,760.7808,,0,,0,,0,,132.08,,0,,3514.6488,,212.2424,,84.7344,,0,,8.7376,,60516.4144,,114166.904,,,,733.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2180.336,,,,,45383.704,,,,,12.192,,,,47576.232,,,,,,,,,,,,,,,
1966,,2417.7752,,0,,0,,0,,0,,0,,0,,0,,29690.9744,,0,,29267.404,,0,,0,,0,,0,,256.9464,,0,,4574.4384,,8953.6016,,920.0896,,0,,0,,64105.6376,,140186.8672,,,,1749.274245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1549.4,,,,,39230.808,,,,,242.824,,,,41023.032,,,,,,,,,,,,,,,
1967,,1980.3872,,0,,0,,0,,0,,0,,0,,40.5384,,32793.0256,,2.4384,,31561.9384,,612.5464,,0,,0,,11.0744,,51.0032,,0,,4699.508,,14895.9824,,2072.0304,,0,,0,,70702.2208,,159422.6936,,,,3139.170371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7772.4,,,,,79857.6,,,,,208.28,,,,87838.28,,,,,,,,,,,,,,,
1968,,20914.1568,,0,,0,,0,,0,,166.0144,,0,,0,,27596.8968,,0.9144,,20558.6584,,6900.3672,,0,,0,,0,,160.8328,,0,,3482.1368,,0,,1332.3824,,0,,0,,65991.9432,,147104.3032,,,,6075.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22778.72,,,,,61407.04,,,,,18.288,,,,84204.048,,,,,,,,,,,,,,,
1969,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,68790,,72200,,,,1043.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23738.84,,,,,23414.736,,,,,16.256,,,,47169.832,,,,,,,,,,,,,,,
1970,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,81787.67178,,171400,,,,388.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28214.32,,,,,24700.992,,,,,0,,,,52915.312,,,,,,,,,,,,,,,
1971,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,81790,,185000,,,,340.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23032.72,,,,,37364.416,,,,,0,,,,60397.136,,,,,,,,,,,,,,,
1972,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,106600.6098,,246000,,,,10.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105775.76,,,,,37496.496,,,,,0,,,,143272.256,,,,,,,,,,,,,,,
1973,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,165300,,299800,,,,6.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62982,,,,,23769,,,,,0,,,,86751,,,,,,,,,,,,,,,
1974,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,143651.03,,223400,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51614,,,,,9283,,,,,0,,,,60897,,,,,,,,,,,,,,,
1975,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,131100,,185400,,,,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43060,,,,,22649,,,,,0,,,,65709,,,,,,,,,,,,,,,
1976,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,101925,,146400,,,,205.704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40700,,,,,2800,,,,,0,,,,43500,,,,,,,,,,,,,,,
1977,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,111000,,141300,,,,137.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34800,,,,,11230,,,,,0,,,,46030,,,,,,,,,,,,,,,
1978,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,171490,,220900,,,,115.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40856,,,,,8863.6,,,,,0,,,,49719.6,,,,,,,,,,,,,,,
1979,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,196601.25,,258800,,,,32.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38613,,,,,10304,,,,,0,,,,48917,,,,,,,,,,,,,,,
1980,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,171460,,240200,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000,,,,,9574.9,,,,,0,,,,39574.9,,,,,,,,,,,,,,,
1981,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,143050,,205300,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43234,,,,,20521,,,,,0,,,,63755,,,,,,,,,,,,,,,
1982,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,131230,,165200,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38383,,,,,12157,,,,,0,,,,50540,,,,,,,,,,,,,,,
1983,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,105850,,157600,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34440,,,,,20493,,,,,0,,,,54933,,,,,,,,,,,,,,,
1984,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,107280,,138800,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39200,,,,,11340.9,,,,,0,,,,50540.9,,,,,,,,,,,,,,,
1985,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,74950,,130600,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30526,,,,,1580,,,,,0,,,,32106,,,,,,,,,,,,,,,
1986,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,53600,,128000,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49673,,,,,2360,,,,,0,,,,52033,,,,,,,,,,,,,,,
1987,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,24900,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42950,,,,,2440,,,,,0,,,,45390,,,,,,,,,,,,,,,
1988,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,300,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26220,,,,,0,,,,,0,,,,26220,,,,,,,,,,,,,,,
1989,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22482,,,,,500,,,,,0,,,,22982,,,,,,,,,,,,,,,
1990,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14279,,,,,241,,,,,0,,,,14520,,,,,,,,,,,,,,,
1991,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18400,,,,,100,,,,,0,,,,18500,,,,,,,,,,,,,,,
1992,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19400,,,,,400,,,,,0,,,,19800,,,,,,,,,,,,,,,
1993,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1300,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9800,,,,,1200,,,,,0,,,,11000,,,,,,,,,,,,,,,
1994,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20300,,,,,600,,,,,0,,,,20900,,,,,,,,,,,,,,,
1995,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41100,,,,,1783.1,,,,,0,,,,42883.1,,,,,,,,,,,,,,,
1996,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36700,,,,,300,,,,,0,,,,37000,,,,,,,,,,,,,,,
1997,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52300,,,,,0,,,,,0,,,,52300,,,,,,,,,,,,,,,
1998,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58800,,,,,0,,,,,0,,,,58800,,,,,,,,,,,,,,,
1999,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4000,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46600,,,,,0,,,,,0,,,,46600,,,,,,,,,,,,,,,
2000,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71250,,,,,0,,,,,0,,,,71250,,,,,,,,,,,,,,,
2001,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97600,,,,,0,,,,,0,,,,97600,,,,,,,,,,,,,,,
2002,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,74960,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76300,,,,,0,,,,,0,,,,76300,,,,,,,,,,,,,,,
2003,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,103100,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65300,,,,,0,,,,,0,,,,65300,,,,,,,,,,,,,,,
2004,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,42900,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42600,,,,,0,,,,,0,,,,42600,,,,,,,,,,,,,,,
2005,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42700,,,,,0,,,,,0,,,,42700,,,,,,,,,,,,,,,
2006,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42600,,,,,0,,,,,0,,,,42600,,,,,,,,,,,,,,,
2007,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14800,,,,,0,,,,,0,,,,14800,,,,,,,,,,,,,,,
2008,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17000,,,,,0,,,,,0,,,,17000,,,,,,,,,,,,,,,
2009,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,
2010,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,
2011,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,
2012,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,
2013,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,
2014,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,1400,,,,,,,,,,,,,,,
2015,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,2176.7,,,,,,,,,,,,,,,
2016,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,4128,,,,,,,,,,,,,,,
2017,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,2110,,,,,,,,,,,,,,,
2018,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,8210,,,,,,,,,,,,,,,
2019,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,9934.4,,,,,,,,,,,,,,,
2020,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,11217.4,,,,,,,,,,,,,,,
2021,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,7151,,,,,,,,,,,,,,,
